status	category	class	module	path	blocker
TODO	ui	CenterVerticalIcon	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/datamgr/tree/CenterVerticalIcon.java	Icon
TODO	ui	StackDepthChangeEvent	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/function/StackDepthChangeEvent.java	swing/awt
TODO	ui	HintTextArea	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/instructionsearch/ui/HintTextArea.java	JTextArea
TODO	ui	InterpreterConnection	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/interpreter/InterpreterConnection.java	swing/awt
TODO	ui	RegisterField	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/misc/RegisterField.java	JTextField
TODO	ui	CharacterScriptUtils	app	Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/strings/CharacterScriptUtils.java	swing/awt
TODO	ui	EmptyTextLine	app	Ghidra/Features/Base/src/main/java/ghidra/app/util/html/EmptyTextLine.java	swing/awt
TODO	ui	FixedLengthTextField	framework	Ghidra/Features/Base/src/main/java/ghidra/framework/main/FixedLengthTextField.java	JTextField
TODO	ui	GraphLocationMap	graph	Ghidra/Features/DataGraph/src/main/java/datagraph/graph/explore/GraphLocationMap.java	swing/awt
TODO	ui	TaintCTokenHighlighterPalette	app	Ghidra/Features/DecompilerDependent/src/main/java/ghidra/app/plugin/core/decompiler/taint/TaintCTokenHighlighterPalette.java	swing/awt
TODO	ui	GImage	file	Ghidra/Features/FileFormats/src/main/java/ghidra/file/image/GImage.java	swing/awt
TODO	ui	PointInfo	app	Ghidra/Features/FunctionGraph/src/main/java/ghidra/app/plugin/core/functiongraph/graph/vertex/PointInfo.java	swing/awt
TODO	ui	AttributeFilters	graph	Ghidra/Features/GraphServices/src/main/java/ghidra/graph/AttributeFilters.java	swing/awt
TODO	ui	JgtCursorRestoringPlugin	graph	Ghidra/Features/GraphServices/src/main/java/ghidra/graph/visualization/mouse/JgtCursorRestoringPlugin.java	swing/awt
TODO	ui	JgtSelectingGraphMousePlugin	graph	Ghidra/Features/GraphServices/src/main/java/ghidra/graph/visualization/mouse/JgtSelectingGraphMousePlugin.java	swing/awt
TODO	ui	JgtUtils	graph	Ghidra/Features/GraphServices/src/main/java/ghidra/graph/visualization/mouse/JgtUtils.java	swing/awt
TODO	ui	BoundedRangeInputVerifier	feature	Ghidra/Features/VersionTracking/src/main/java/ghidra/feature/vt/gui/filters/BoundedRangeInputVerifier.java	swing/awt
TODO	ui	CheckBoxInfo	feature	Ghidra/Features/VersionTracking/src/main/java/ghidra/feature/vt/gui/filters/CheckBoxInfo.java	swing/awt
TODO	ui	IntegerInputVerifier	feature	Ghidra/Features/VersionTracking/src/main/java/ghidra/feature/vt/gui/filters/IntegerInputVerifier.java	swing/awt
TODO	ui	DisabledComponentLayerFactory	docking	Ghidra/Framework/Docking/src/main/java/docking/DisabledComponentLayerFactory.java	JComponent
TODO	ui	DropDownMenuIcon	docking	Ghidra/Framework/Docking/src/main/java/docking/DropDownMenuIcon.java	Icon
TODO	ui	DropTargetFactory	docking	Ghidra/Framework/Docking/src/main/java/docking/DropTargetFactory.java	swing/awt
TODO	ui	ErrorReporter	docking	Ghidra/Framework/Docking/src/main/java/docking/ErrorReporter.java	swing/awt
TODO	ui	FocusOwnerProvider	docking	Ghidra/Framework/Docking/src/main/java/docking/FocusOwnerProvider.java	swing/awt
TODO	ui	KeyEntryListener	docking	Ghidra/Framework/Docking/src/main/java/docking/KeyEntryListener.java	swing/awt
TODO	ui	PopupMenuContext	docking	Ghidra/Framework/Docking/src/main/java/docking/PopupMenuContext.java	swing/awt
TODO	ui	UndoRedoKeeper	docking	Ghidra/Framework/Docking/src/main/java/docking/UndoRedoKeeper.java	swing/awt
TODO	ui	DragDropNode	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/DragDropNode.java	swing/awt
TODO	ui	Droppable	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/Droppable.java	swing/awt
TODO	ui	GClipboard	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/GClipboard.java	swing/awt
TODO	ui	GenericDataFlavor	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/GenericDataFlavor.java	swing/awt
TODO	ui	ImageTransferable	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/ImageTransferable.java	swing/awt
TODO	ui	StringTransferable	docking	Ghidra/Framework/Docking/src/main/java/docking/dnd/StringTransferable.java	swing/awt
TODO	ui	MenuKeyHandler	docking	Ghidra/Framework/Docking/src/main/java/docking/menu/keys/MenuKeyHandler.java	swing/awt
TODO	ui	DateEditor	docking	Ghidra/Framework/Docking/src/main/java/docking/options/editor/DateEditor.java	JPanel
TODO	ui	OptionsEditorAlignable	docking	Ghidra/Framework/Docking/src/main/java/docking/options/editor/OptionsEditorAlignable.java	swing/awt
TODO	ui	ColorSorter	docking	Ghidra/Framework/Docking/src/main/java/docking/theme/gui/ColorSorter.java	swing/awt
TODO	ui	AnimatedIcon	docking	Ghidra/Framework/Docking/src/main/java/docking/util/AnimatedIcon.java	Icon
TODO	ui	GraphicsUtils	docking	Ghidra/Framework/Docking/src/main/java/docking/util/GraphicsUtils.java	swing/awt
TODO	ui	TextShaper	docking	Ghidra/Framework/Docking/src/main/java/docking/util/TextShaper.java	swing/awt
TODO	ui	CalloutInfo	docking	Ghidra/Framework/Docking/src/main/java/docking/util/image/CalloutInfo.java	swing/awt
TODO	ui	DropShadow	docking	Ghidra/Framework/Docking/src/main/java/docking/util/image/DropShadow.java	swing/awt
TODO	ui	AutoLookup	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/AutoLookup.java	swing/awt
TODO	ui	JTreeMouseListenerDelegate	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/JTreeMouseListenerDelegate.java	swing/awt
TODO	ui	SideKickVerticalScrollbar	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/SideKickVerticalScrollbar.java	JScrollBar
TODO	ui	VariableHeightPanel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/VariableHeightPanel.java	JPanel
TODO	ui	BrowseButton	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/button/BrowseButton.java	JButton
TODO	ui	FieldOverlayListener	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/fieldpanel/listener/FieldOverlayListener.java	swing/awt
TODO	ui	BackgroundColorModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/fieldpanel/support/BackgroundColorModel.java	swing/awt
TODO	ui	Highlight	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/fieldpanel/support/Highlight.java	swing/awt
TODO	ui	DirectoryListModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/filechooser/DirectoryListModel.java	swing/awt
TODO	ui	GTreeTableNode	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/gtreetable/GTreeTableNode.java	swing/awt
TODO	ui	ListPanel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/list/ListPanel.java	JPanel
TODO	ui	ListRendererMouseEventForwarder	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/list/ListRendererMouseEventForwarder.java	swing/awt
TODO	ui	BoundedRangeDecimalFormatter	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/numberformat/BoundedRangeDecimalFormatter.java	swing/awt
TODO	ui	IntegerFormatter	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/numberformat/IntegerFormatter.java	swing/awt
TODO	ui	AbstractTypedPropertyEditor	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/pathmanager/AbstractTypedPropertyEditor.java	swing/awt
TODO	ui	PathnameTableModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/pathmanager/PathnameTableModel.java	swing/awt
TODO	ui	WrappingTableModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/WrappingTableModel.java	swing/awt
TODO	ui	FilterPanelLayout	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/constraint/dialog/FilterPanelLayout.java	swing/awt
TODO	ui	BoundedSpinnerNumberModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/constrainteditor/BoundedSpinnerNumberModel.java	swing/awt
TODO	ui	LocalDateSpinnerModel	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/constrainteditor/LocalDateSpinnerModel.java	swing/awt
TODO	ui	DecimalFormatterFactory	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/textfield/DecimalFormatterFactory.java	swing/awt
TODO	ui	FloatingPointTextField	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/textfield/FloatingPointTextField.java	JTextField
TODO	ui	TextFieldLinker	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/textfield/TextFieldLinker.java	swing/awt
TODO	ui	GTreeSelectionEvent	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/tree/support/GTreeSelectionEvent.java	swing/awt
TODO	ui	TextLayoutGraphics	generic	Ghidra/Framework/Generic/src/main/java/generic/text/TextLayoutGraphics.java	swing/awt
TODO	ui	GhidraSwingTimer	generic	Ghidra/Framework/Generic/src/main/java/generic/timer/GhidraSwingTimer.java	swing/awt
TODO	ui	BeginningOfLineAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/BeginningOfLineAction.java	swing/awt
TODO	ui	DeleteToEndOfWordAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/DeleteToEndOfWordAction.java	swing/awt
TODO	ui	DeleteToStartOfWordAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/DeleteToStartOfWordAction.java	swing/awt
TODO	ui	EndOfLineAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/EndOfLineAction.java	swing/awt
TODO	ui	SelectBeginningOfLineAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/SelectBeginningOfLineAction.java	swing/awt
TODO	ui	SelectEndOfLineAction	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/SelectEndOfLineAction.java	swing/awt
TODO	ui	SystemKeyBindings	generic	Ghidra/Framework/Generic/src/main/java/generic/util/action/SystemKeyBindings.java	swing/awt
TODO	ui	CascadedDropTarget	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/CascadedDropTarget.java	swing/awt
TODO	ui	SaveableColor	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/SaveableColor.java	swing/awt
TODO	ui	SaveablePoint	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/SaveablePoint.java	swing/awt
TODO	ui	VisualVertex	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/VisualVertex.java	swing/awt
TODO	ui	JungPickingGraphMousePlugin	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/event/mouse/JungPickingGraphMousePlugin.java	swing/awt
TODO	ui	VertexTooltipProvider	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/event/mouse/VertexTooltipProvider.java	swing/awt
TODO	ui	VisualGraphCursorRestoringGraphMousePlugin	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/event/mouse/VisualGraphCursorRestoringGraphMousePlugin.java	swing/awt
TODO	ui	VisualGraphPopupMousePlugin	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/event/mouse/VisualGraphPopupMousePlugin.java	swing/awt
TODO	ui	GPickedState	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/event/picking/GPickedState.java	swing/awt
TODO	ui	GridCoordinates	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/layout/GridCoordinates.java	swing/awt
TODO	ui	LayoutListener	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/layout/LayoutListener.java	swing/awt
TODO	ui	ToolTipInfo	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/popup/ToolTipInfo.java	swing/awt
TODO	ui	VisualGraphEdgeLabelRenderer	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/renderer/VisualGraphEdgeLabelRenderer.java	swing/awt
TODO	ui	GraphLoopShape	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/shape/GraphLoopShape.java	swing/awt
TODO	ui	VertexShapeProvider	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/viewer/vertex/VertexShapeProvider.java	swing/awt
TODO	ui	VertexShape	service	Ghidra/Framework/Graph/src/main/java/ghidra/service/graph/VertexShape.java	swing/awt
TODO	ui	ThemeEvent	generic	Ghidra/Framework/Gui/src/main/java/generic/theme/ThemeEvent.java	swing/awt
TODO	ui	FontChangeListener	generic	Ghidra/Framework/Gui/src/main/java/generic/theme/laf/FontChangeListener.java	swing/awt
TODO	ui	FontNonUiResource	generic	Ghidra/Framework/Gui/src/main/java/generic/theme/laf/FontNonUiResource.java	swing/awt
TODO	ui	ErrorPropertyEditor	framework	Ghidra/Framework/Gui/src/main/java/ghidra/framework/options/ErrorPropertyEditor.java	swing/awt
TODO	ui	NoRegisteredEditorPropertyEditor	framework	Ghidra/Framework/Gui/src/main/java/ghidra/framework/options/NoRegisteredEditorPropertyEditor.java	swing/awt
TODO	ui	PropertyBoolean	framework	Ghidra/Framework/Gui/src/main/java/ghidra/framework/options/PropertyBoolean.java	JCheckBox
TODO	ui	PropertySelector	framework	Ghidra/Framework/Gui/src/main/java/ghidra/framework/options/PropertySelector.java	JComboBox
TODO	ui	PropertyText	framework	Ghidra/Framework/Gui/src/main/java/ghidra/framework/options/PropertyText.java	JTextField
TODO	ui	WebColors	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/WebColors.java	swing/awt
TODO	ui	GhidraFileChooserModel	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/filechooser/GhidraFileChooserModel.java	swing/awt
TODO	ui	AbstractLayoutManager	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/AbstractLayoutManager.java	swing/awt
TODO	ui	ColumnLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/ColumnLayout.java	swing/awt
TODO	ui	HorizontalLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/HorizontalLayout.java	swing/awt
TODO	ui	MaximizeSpecificColumnGridLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/MaximizeSpecificColumnGridLayout.java	swing/awt
TODO	ui	MiddleLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/MiddleLayout.java	swing/awt
TODO	ui	PairLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/PairLayout.java	swing/awt
TODO	ui	RightSidedSquishyBuddyLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/RightSidedSquishyBuddyLayout.java	swing/awt
TODO	ui	StretchLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/StretchLayout.java	swing/awt
TODO	ui	ThreeColumnLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/ThreeColumnLayout.java	swing/awt
TODO	ui	VerticalLayout	util	Ghidra/Framework/Gui/src/main/java/ghidra/util/layout/VerticalLayout.java	swing/awt
TODO	ui	ColorIcon	util	Ghidra/Framework/Gui/src/main/java/resources/icons/ColorIcon.java	Icon
TODO	ui	ColorIcon3D	util	Ghidra/Framework/Gui/src/main/java/resources/icons/ColorIcon3D.java	Icon
TODO	ui	EmptyIcon	util	Ghidra/Framework/Gui/src/main/java/resources/icons/EmptyIcon.java	Icon
TODO	ui	IconWrapper	util	Ghidra/Framework/Gui/src/main/java/resources/icons/IconWrapper.java	Icon
TODO	ui	OvalBackgroundColorIcon	util	Ghidra/Framework/Gui/src/main/java/resources/icons/OvalBackgroundColorIcon.java	Icon
TODO	ui	OvalColorIcon	util	Ghidra/Framework/Gui/src/main/java/resources/icons/OvalColorIcon.java	Icon
TODO	ui	RotateIcon	util	Ghidra/Framework/Gui/src/main/java/resources/icons/RotateIcon.java	Icon
TODO	ui	BrokenLinkIcon	framework	Ghidra/Framework/Project/src/main/java/ghidra/framework/main/BrokenLinkIcon.java	Icon
TODO	ui	SelectPanel	framework	Ghidra/Framework/Project/src/main/java/ghidra/framework/main/SelectPanel.java	JPanel
TODO	ui	DomainFileType	framework	Ghidra/Framework/Project/src/main/java/ghidra/framework/main/datatable/DomainFileType.java	swing/awt
TODO	ui	GTaskListModel	framework	Ghidra/Framework/Project/src/main/java/ghidra/framework/task/gui/GTaskListModel.java	swing/awt
TODO	ui	DataImage	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataImage.java	swing/awt
TODO	ui	Playable	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Playable.java	swing/awt
TODO	ui	BookmarkType	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/listing/BookmarkType.java	swing/awt
TODO	ui	ErrorDisplay	util	Ghidra/Framework/Utility/src/main/java/ghidra/util/ErrorDisplay.java	swing/awt
TODO	ui	UnableToSwingException	util	Ghidra/Framework/Utility/src/main/java/ghidra/util/exception/UnableToSwingException.java	swing/awt
