verdict	convention	pattern	dyn_uses	class	java_kind	concrete_impls	why	sample_sites
fix		P1	106	AssemblyPatternBlock	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/seam_stubs.rs:503 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:22 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:23
fix	STRUCT	P3	106	TraceNamespaceSymbol	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol.rs:259 ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol.rs:422 ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol_single_type_view.rs:149
fix		P1	105	Lock	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/util/lock_hold.rs:120 ghidra-rs/src/util/stream_utils.rs:90 ghidra-rs/src/util/stream_utils.rs:162
fix	STRUCT	P5	100	PluginTool	class	6	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/seam_stubs.rs:719 ghidra-rs/src/framework/seam_stubs.rs:820 ghidra-rs/src/framework/plugintool/generic_stand_alone_application.rs:79
fix		P1	97	AssemblyResolutionResults	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:109 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:140 ghidra-rs/src/app/plugin/assembler/assembler.rs:322
fix	STRUCT	P2	90	DataOrganization	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_compiler_spec.rs:187 ghidra-rs/src/program/database/data/composite_db.rs:370 ghidra-rs/src/program/model/lang/param_list.rs:184
fix		P1	88	ObjectKey	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/util/seam_stubs.rs:498 ghidra-rs/src/util/database/db_annotated_object.rs:59 ghidra-rs/src/util/database/db_annotated_object.rs:286
fix	STRUCT	P3	82	LanguageDescription	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/model/lang/language_description.rs:161 ghidra-rs/src/program/model/lang/language_provider.rs:38 ghidra-rs/src/program/model/lang/language_provider.rs:158
fix	STRUCT	P3	82	TraceProgramView	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:172 ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:358 ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:359
fix	STRUCT	P1	80	BigFloat	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:710 ghidra-rs/src/program/seam_stubs.rs:716 ghidra-rs/src/program/seam_stubs.rs:722
fix	STRUCT	P3	79	Decoder	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:1567 ghidra-rs/src/program/seam_stubs.rs:1579 ghidra-rs/src/program/seam_stubs.rs:1786
fix	ITER	P5	79	ReferenceIterator	interface	5	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/database/symbol/code_symbol.rs:388 ghidra-rs/src/program/database/code/code_unit_db.rs:218 ghidra-rs/src/program/database/code/data_db.rs:232
fix		P1	79	TraceSchedule	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:154 ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:154 ghidra-rs/src/debug/api/tracemgr/debugger_coordinates.rs:173
fix	STRUCT	P3	77	CompilerSpecDescription	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_compiler_spec.rs:122 ghidra-rs/src/program/model/lang/compiler_spec_description.rs:47 ghidra-rs/src/program/model/lang/language_description.rs:51
fix	ITER	P3	74	InstructionIterator	interface	2	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/database/listing_db.rs:182 ghidra-rs/src/program/database/listing_db.rs:189 ghidra-rs/src/program/database/listing_db.rs:196
fix	STRUCT	P2	72	TraceObjectValue	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:32 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:169 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:170
fix	STRUCT	P2	69	GFile	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/filesystem/gfilesystem/g_file.rs:18 ghidra-rs/src/filesystem/gfilesystem/g_file.rs:36 ghidra-rs/src/filesystem/gfilesystem/g_file.rs:96
fix		P1	68	ItemCheckoutStatus	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/framework/client/repository_adapter.rs:307 ghidra-rs/src/framework/client/repository_adapter.rs:331 ghidra-rs/src/framework/client/repository_adapter.rs:341
fix	STRUCT	P5	68	GDirectedGraph	interface	8	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/graph/g_directed_graph.rs:80 ghidra-rs/src/graph/g_directed_graph.rs:118 ghidra-rs/src/graph/g_directed_graph.rs:191
fix	STRUCT	P1	59	AssemblyProduction	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_state.rs:368 ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_tree_resolver.rs:185 ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_tree_resolver.rs:375
fix	STRUCT	P5	58	DomainFolder	interface	4	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/model/project_data.rs:55 ghidra-rs/src/framework/model/project_data.rs:61 ghidra-rs/src/framework/model/project_data.rs:72
fix	STRUCT	P3	55	FunctionSignature	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:1866 ghidra-rs/src/program/database/data/function_definition_db.rs:250 ghidra-rs/src/program/database/function/function_db.rs:755
fix	STRUCT	P5	52	CodeBlockModel	interface	6	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/model/block/code_block_iterator.rs:67 ghidra-rs/src/program/model/block/code_block_model.rs:116 ghidra-rs/src/program/model/block/code_block_model.rs:163
fix	ITER	P5	51	CodeBlockReferenceIterator	interface	4	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/model/block/code_block_iterator.rs:74 ghidra-rs/src/program/model/block/code_block_model.rs:92 ghidra-rs/src/program/model/block/code_block_model.rs:106
fix	STRUCT	P5	50	ValidatableLine	interface	6	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/util/html/text_line.rs:38 ghidra-rs/src/app/util/html/text_line.rs:54 ghidra-rs/src/app/util/html/text_line.rs:58
fix	STRUCT	P2	50	TraceEquate	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/symbol/db_trace_equate_manager.rs:220 ghidra-rs/src/trace/database/symbol/db_trace_equate_manager.rs:228 ghidra-rs/src/trace/database/symbol/db_trace_equate_manager.rs:231
fix	ENUM	P3	46	Step	interface	3	decided ENUM: becomes a variant of the enum for this hierarchy (convention 2)	ghidra-rs/src/app/services/debugger_emulation_service.rs:313 ghidra-rs/src/trace/seam_stubs.rs:138 ghidra-rs/src/trace/seam_stubs.rs:1857
fix		P1	45	AssemblyConstructorSemantic	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:360 ghidra-rs/src/app/plugin/assembler/generic_assembler.rs:883 ghidra-rs/src/app/plugin/assembler/sleigh/expr/abstract_binary_expression_solver.rs:516
fix	STRUCT	P2	44	ParallelInstructionLanguageHelper	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/model/lang/language_version_exception.rs:270 ghidra-rs/src/program/model/lang/parallel_instruction_language_helper.rs:442 ghidra-rs/src/program/model/lang/register_translator.rs:115
fix	STRUCT	P1	44	MemoryBlockDefinition	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/model/lang/language_version_exception.rs:349 ghidra-rs/src/program/model/lang/register_translator.rs:229 ghidra-rs/src/program/model/lang/compiler_spec.rs:326
fix		P1	43	AddressLabelInfo	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/program/model/lang/language_version_exception.rs:352 ghidra-rs/src/program/model/lang/register_translator.rs:233 ghidra-rs/src/program/model/lang/compiler_spec.rs:330
fix	STRUCT	P1	41	AssemblyGrammar	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/seam_stubs.rs:812 ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_state.rs:278 ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_tree_resolver.rs:136
fix	STRUCT	P3	40	ToolTemplate	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/plugintool/generic_stand_alone_application.rs:95 ghidra-rs/src/framework/plugintool/generic_stand_alone_application.rs:106 ghidra-rs/src/framework/plugintool/generic_stand_alone_application.rs:113
fix	STRUCT	P2	40	Library	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/symbol/library_db.rs:260 ghidra-rs/src/program/database/symbol/symbol_manager.rs:318 ghidra-rs/src/program/database/symbol/symbol_manager.rs:326
fix	STRUCT	P1	38	ProjectLocator	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/model/project_data.rs:146 ghidra-rs/src/framework/model/project_locator.rs:221 ghidra-rs/src/framework/model/project.rs:57
fix	STRUCT	P2	37	TraceObjectValPath	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:201 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:214 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:398
fix	STRUCT	P3	36	Project	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/plugintool/generic_stand_alone_application.rs:78 ghidra-rs/src/framework/main/front_end_service.rs:28 ghidra-rs/src/framework/main/front_end_service.rs:32
fix	ARENA	P5	35	Group	interface	4	decided ARENA: hold a Copy ID resolved against the store, not a trait object (OWNERSHIP_MIGRATION.md convention 1)	ghidra-rs/src/program/database/module/module_manager.rs:219 ghidra-rs/src/program/database/module/module_manager.rs:224 ghidra-rs/src/program/database/module/module_manager.rs:270
fix	ITER	P5	35	CodeBlockIterator	interface	4	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/model/block/code_block_iterator.rs:37 ghidra-rs/src/program/model/block/code_block_iterator.rs:42 ghidra-rs/src/program/model/block/code_block_iterator.rs:113
fix	STRUCT	P1	35	ExtensionDetails	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/util/seam_stubs.rs:249 ghidra-rs/src/util/seam_stubs.rs:256 ghidra-rs/src/util/seam_stubs.rs:260
fix	STRUCT	P3	35	FieldSpan	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/util/seam_stubs.rs:465 ghidra-rs/src/util/seam_stubs.rs:675 ghidra-rs/src/util/database/field_span.rs:70
fix	STRUCT	P1	35	AssemblySentential	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_tree_resolver.rs:669 ghidra-rs/src/app/plugin/assembler/sleigh/sem/abstract_assembly_tree_resolver.rs:705 ghidra-rs/src/app/plugin/assembler/sleigh/grammars/assembly_extended_grammar.rs:42
fix		P1	34	DBTraceObject	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/trace/seam_stubs.rs:999 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:283 ghidra-rs/src/trace/database/target/db_trace_object_val_path.rs:293
fix		P1	33	InstructionSet	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/program/database/listing_db.rs:306 ghidra-rs/src/program/database/code/code_manager.rs:83 ghidra-rs/src/program/database/code/code_manager.rs:534
fix	STRUCT	P2	33	PcodeOverride	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/code/prototype_manager.rs:365 ghidra-rs/src/program/database/code/prototype_manager.rs:391 ghidra-rs/src/program/database/code/prototype_manager.rs:400
fix	STRUCT	P5	33	Structure	interface	14	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/model/listing/variable_utilities.rs:586 ghidra-rs/src/program/model/listing/variable_utilities.rs:599 ghidra-rs/src/program/model/listing/variable_utilities.rs:620
fix	STRUCT	P1	33	SymbolPath	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/util/symbol_path.rs:47 ghidra-rs/src/app/util/symbol_path.rs:81 ghidra-rs/src/app/util/symbol_path.rs:96
fix	STRUCT	P2	32	AssemblyResolvedBackfill	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:275 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:331 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:338
fix	STRUCT	P5	30	Options	interface	5	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/options/options.rs:74 ghidra-rs/src/framework/options/options.rs:310 ghidra-rs/src/framework/options/options.rs:455
fix	STRUCT	P1	29	PluginDescription	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/plugintool/default_plugin_packaging_provider.rs:21 ghidra-rs/src/framework/plugintool/default_plugin_packaging_provider.rs:25 ghidra-rs/src/framework/plugintool/default_plugin_packaging_provider.rs:32
fix	STRUCT	P1	28	IndexField	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/db/index_field.rs:18 ghidra-rs/src/framework/db/index_field.rs:18 ghidra-rs/src/framework/db/index_field.rs:46
fix	STRUCT	P1	28	Emulate	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/pcode/emu/modified_pcode_thread.rs:43 ghidra-rs/src/pcode/emu/modified_pcode_thread.rs:118 ghidra-rs/src/pcode/emu/modified_pcode_thread.rs:197
fix	STRUCT	P1	28	ExprTree	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/decompiler/slgh_compile/expr_tree.rs:129 ghidra-rs/src/decompiler/slgh_compile/expr_tree.rs:218 ghidra-rs/src/decompiler/slgh_compile/expr_tree.rs:313
fix	STRUCT	P1	27	ToolOptions	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/options/options_change_listener.rs:23 ghidra-rs/src/framework/options/options_change_listener.rs:47 ghidra-rs/src/program/util/address_correlator.rs:69
fix		P1	27	RepositoryItem	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/framework/client/repository_adapter.rs:239 ghidra-rs/src/framework/client/repository_adapter.rs:249 ghidra-rs/src/framework/client/repository_adapter.rs:255
fix	STRUCT	P1	26	HighFunction	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:1723 ghidra-rs/src/program/model/pcode/high_symbol.rs:83 ghidra-rs/src/program/model/pcode/high_symbol.rs:259
fix	STRUCT	P1	26	Vertex	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/util/graph/vertex.rs:37 ghidra-rs/src/util/graph/vertex.rs:48 ghidra-rs/src/util/graph/vertex.rs:56
fix	STRUCT	P1	25	Application	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/application.rs:55 ghidra-rs/src/framework/application.rs:55 ghidra-rs/src/framework/application.rs:611
fix	STRUCT	P1	25	AssemblyParseNumericToken	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_numeric_token.rs:37 ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_numeric_token.rs:46 ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_numeric_token.rs:48
fix	STRUCT	P1	25	DBTraceSettingsEntry	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/data/db_trace_data_settings_operations.rs:11 ghidra-rs/src/trace/database/data/db_trace_data_settings_operations.rs:88 ghidra-rs/src/trace/database/data/db_trace_data_settings_operations.rs:111
fix	ITER	P5	24	DBFieldIterator	interface	6	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/framework/db/db_field_iterator.rs:137 ghidra-rs/src/framework/db/field_index_table.rs:34 ghidra-rs/src/framework/db/field_index_table.rs:46
fix	STRUCT	P1	24	DBBuffer	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/db/db_buffer.rs:12 ghidra-rs/src/framework/db/db_buffer.rs:22 ghidra-rs/src/framework/db/db_buffer.rs:41
fix	STRUCT	P3	24	ParserContext	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/code/prototype_manager.rs:219 ghidra-rs/src/program/database/code/prototype_manager.rs:231 ghidra-rs/src/program/model/lang/parser_context.rs:26
fix	STRUCT	P3	24	KeySpan	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/util/seam_stubs.rs:372 ghidra-rs/src/util/seam_stubs.rs:455 ghidra-rs/src/util/database/key_span.rs:56
fix	STRUCT	P1	24	FileSystemInfoRec	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/filesystem/seam_stubs.rs:146 ghidra-rs/src/filesystem/seam_stubs.rs:149 ghidra-rs/src/filesystem/gfilesystem/file_system_probe_conflict_resolver.rs:15
fix	STRUCT	P1	23	RepositoryAdapter	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/client/repository_adapter.rs:504 ghidra-rs/src/framework/client/repository_server_adapter.rs:109 ghidra-rs/src/framework/client/repository_server_adapter.rs:117
fix	STRUCT	P1	23	FileBytes	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/mem/file_bytes.rs:14 ghidra-rs/src/program/database/mem/file_bytes.rs:325 ghidra-rs/src/program/database/mem/file_bytes_adapter.rs:87
fix		P1	23	AssemblyNumericSymbols	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_token.rs:104 ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_token.rs:109 ghidra-rs/src/app/plugin/assembler/sleigh/tree/assembly_parse_numeric_token.rs:86
fix	STRUCT	P5	23	TraceSymbolView	interface	8	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/model/trace.rs:1306 ghidra-rs/src/trace/model/trace.rs:1314 ghidra-rs/src/trace/model/symbol/trace_label_symbol_view.rs:517
fix	STRUCT	P1	22	CommentHistory	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/listing_db.rs:484 ghidra-rs/src/program/database/code/code_manager.rs:449 ghidra-rs/src/program/database/code/code_manager.rs:904
fix	STRUCT	P1	22	TimeRadix	enum	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/seam_stubs.rs:267 ghidra-rs/src/trace/seam_stubs.rs:1862 ghidra-rs/src/trace/seam_stubs.rs:1868
fix	STRUCT	P1	20	CodeUnitComments	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/listing_db.rs:145 ghidra-rs/src/program/database/code/code_manager.rs:437 ghidra-rs/src/program/database/code/code_manager.rs:877
fix	ITER	P3	20	ExternalLocationIterator	interface	2	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/database/external/external_location_db.rs:723 ghidra-rs/src/program/database/external/external_location_db.rs:729 ghidra-rs/src/program/database/external/external_manager_db.rs:175
fix		P1	20	AssemblySyntaxException	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:70 ghidra-rs/src/app/plugin/assembler/assembler.rs:338 ghidra-rs/src/app/plugin/assembler/assembler.rs:347
fix	STRUCT	P1	20	AssemblySelector	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:602 ghidra-rs/src/app/plugin/assembler/assembler_builder.rs:35 ghidra-rs/src/app/plugin/assembler/assembler_builder.rs:46
fix		P1	20	TraceOverlappedRegionException	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/app/services/debugger_static_mapping_service.rs:666 ghidra-rs/src/app/services/debugger_static_mapping_service.rs:676 ghidra-rs/src/app/services/debugger_static_mapping_service.rs:686
fix	STRUCT	P1	20	TraceAddressSnapRangeQuery	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map.rs:223 ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map.rs:282 ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map.rs:284
fix	STRUCT	P3	19	ProjectData	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/framework/model/project_data.rs:45 ghidra-rs/src/framework/model/project_data.rs:283 ghidra-rs/src/framework/model/project_data.rs:307
