class	kind	n_concrete	extension_point	concrete_implementers
AbstractArrayMsType	class	4	0	Array16MsType,ArrayMsType,ArrayStMsType,StridedArrayMsType
AbstractAssemblyGrammar	class	2	0	AssemblyExtendedGrammar,AssemblyGrammar
AbstractAssemblyProduction	class	3	0	AssemblyExtendedProduction,AssemblyProduction,WildAssemblyProduction
AbstractAssemblyResolution	class	4	0	DefaultAssemblyResolvedBackfill,DefaultAssemblyResolvedError,DefaultAssemblyResolvedPatterns,DefaultWildAssemblyResolvedPatterns
AbstractAssemblyResolutionFactory	class	2	0	DefaultAssemblyResolutionFactory,WildAssemblyResolutionFactory
AbstractAssemblyState	class	5	0	AssemblyConstructState,AssemblyNopState,AssemblyOperandState,WildAssemblyNopState,WildAssemblyOperandState
AbstractAssemblyStateGenerator	class	12	0	AssemblyConstructStateGenerator,AssemblyHiddenConstructStateGenerator,AssemblyNopStateGenerator,AssemblyOperandStateGenerator,AssemblyStringStateGenerator,WildAssemblyConstructStateGenerator,WildAssemblyFixedNumericStateGenerator,WildAssemblyNopStateGenerator,WildAssemblyNumericMapStateGenerator,WildAssemblyNumericStateGenerator,WildAssemblyStringMapStateGenerator,WildAssemblyStringStateGenerator
AbstractAssemblyTest	class	18	0	AARCH64BEAssemblyTest,ARMAssemblyTest,ARMBEAssemblyTest,AVR32AssemblyTest,AVR8AssemblyTest,HexagonAssemblyTest,MIPSAssemblyTest,MIPSMicroAssemblyTest,MSP430XAssemblyTest,PaRiscAssemblyTest,PowerPC64AssemblyTest,PowerPCVLEAssemblyTest,SparcAssemblyTest,dsPIC30FAssemblyTest,m68000AssemblyTest,x64AVX2AssemblyTest,x64AssemblyTest,x86AssemblyTest
AbstractAssemblyTreeResolver	class	2	0	AssemblyTreeResolver,WildAssemblyTreeResolver
AbstractAttributeInfo	class	26	0	AnnotationDefaultAttribute,BootstrapMethodsAttribute,CodeAttribute,ConstantValueAttribute,DeprecatedAttribute,EnclosingMethodAttribute,ExceptionsAttribute,InnerClassesAttribute,LineNumberTableAttribute,LocalVariableTableAttribute,LocalVariableTypeTableAttribute,MethodParametersAttribute,ModuleAttribute,ModuleMainClassAttribute,ModulePackagesAttribute,NestHostAttribute,NestMembersAttribute,RuntimeInvisibleAnnotationsAttribute,RuntimeParameterAnnotationsAttribute,RuntimeVisibleAnnotationsAttribute,SignatureAttribute,SourceDebugExtensionAttribute,SourceFileAttribute,StackMapTableAttribute,SyntheticAttribute,UnsupportedAttributeInfo
AbstractAttributedGraphExporter	class	9	1	CsvAdjacencyListGraphExporter,CsvEdgeListGraphExporter,DimacsGraphExporter,DotGraphExporter,GmlGraphExporter,GraphMlGraphExporter,JsonGraphExporter,MatrixGraphExporter,VisioGraphExporter
AbstractBSimApplyTask	class	2	0	NameAndNamespaceBSimApplyTask,SignatureBSimApplyTask
AbstractBSimPluginTest	class	3	0	BSimFilterPanelTest,BSimSearchPluginTest,QueryFilterTest
AbstractBSimSearchDialog	class	2	0	BSimOverviewDialog,BSimSearchDialog
AbstractBaseClassMsType	class	2	0	BaseClass16MsType,BaseClassMsType
AbstractBaseDBTraceCodeUnitsMemoryView	class	6	0	DBTraceCodeUnitsMemoryView,DBTraceDataMemoryView,DBTraceDefinedDataMemoryView,DBTraceDefinedUnitsMemoryView,DBTraceInstructionsMemoryView,DBTraceUndefinedDataMemoryView
AbstractBaseDBTraceCodeUnitsView	class	6	0	DBTraceCodeUnitsView,DBTraceDataView,DBTraceDefinedDataView,DBTraceDefinedUnitsView,DBTraceInstructionsView,DBTraceUndefinedDataView
AbstractBaseDBTraceDefinedUnitsView	class	2	0	DBTraceDefinedDataView,DBTraceInstructionsView
AbstractBasePointerRelativeMsSymbol	class	4	0	BasePointerRelative16MsSymbol,BasePointerRelative3216MsSymbol,BasePointerRelative32MsSymbol,BasePointerRelative32StMsSymbol
AbstractBasicArrayMsType	class	2	0	BasicArray16MsType,BasicArrayMsType
AbstractBinaryExpressionSolver	class	9	0	AndExpressionSolver,DivExpressionSolver,LeftShiftExpressionSolver,MultExpressionSolver,OrExpressionSolver,PlusExpressionSolver,RightShiftExpressionSolver,SubExpressionSolver,XorExpressionSolver
AbstractBinaryFormatAnalyzer	class	7	1	AppleSingleDoubleAnalyzer,CoffAnalyzer,CoffArchiveAnalyzer,ElfAnalyzer,MachoAnalyzer,PefAnalyzer,PortableExecutableAnalyzer
AbstractBitfieldMsType	class	2	0	Bitfield16MsType,BitfieldMsType
AbstractBlockContextApplier	class	3	0	FunctionSymbolApplier,ManagedProcedureSymbolApplier,SeparatedCodeSymbolApplier
AbstractBlockGraphTest	class	2	0	BlockGraphEventTest,BlockGraphTaskTest
AbstractBlockMsSymbol	class	3	0	Block16MsSymbol,Block32MsSymbol,Block32StMsSymbol
AbstractByteViewerPlugin	class	2	1	ByteViewerPlugin,DebuggerMemoryBytesPlugin
AbstractByteViewerPluginTest	class	5	0	ByteViewerPlugin1Test,ByteViewerPlugin2Test,ByteViewerPlugin3Test,ByteViewerPluginCharFormatTest,ByteViewerPluginFormatsTest
AbstractBytesPcodeExecutorStatePiece	class	2	0	BytesPcodeExecutorStatePiece,JitBytesPcodeExecutorStatePiece
AbstractChainedBufferTest	class	3	0	ChainedBufferTest,ObfuscatedChaninedBufferTest,ObfuscatedSourcedChaninedBufferTest
AbstractChangeExecutionModelMsSymbol	class	2	0	ChangeExecutionModel16MsSymbol,ChangeExecutionModel32MsSymbol
AbstractClassMsType	class	4	0	Class16MsType,Class19MsType,ClassMsType,ClassStMsType
AbstractClassicProcessor	class	2	0	ClassicBindProcessor,ClassicLazyBindProcessor
AbstractCliToolWrapper	class	3	0	LzfseCliToolWrapper,SevenZipCliToolWrapper,ZstdCliToolWrapper
AbstractCobol0MsType	class	2	0	Cobol016MsType,Cobol0MsType
AbstractCobolUserDefinedTypeMsSymbol	class	3	0	CobolUserDefinedType16MsSymbol,CobolUserDefinedTypeMsSymbol,CobolUserDefinedTypeStMsSymbol
AbstractCodeBrowserNavigationTest	class	2	0	CodeBrowserNavigationTest,ExternalCodeBrowserNavigationTest
AbstractCodeBrowserPlugin	class	2	1	CodeBrowserPlugin,DebuggerListingPlugin
AbstractColorDataType	class	2	1	RGB16ColorDataType,RGB32ColorDataType
AbstractColorOverviewAction	class	0	0	
AbstractColumnAdapter	class	7	0	BinaryColumnAdapter,BooleanColumnAdapter,ByteColumnAdapter,IntegerColumnAdapter,LongColumnAdapter,ShortColumnAdapter,StringColumnAdapter
AbstractColumnConstraintEditor	class	13	0	AutocompletingStringConstraintEditor,BooleanConstraintEditor,DateRangeConstraintEditor,DateValueConstraintEditor,DoNothingColumnConstraintEditor,DoubleRangeConstraintEditor,DoubleValueConstraintEditor,EnumConstraintEditor,IntegerConstraintEditor,IntegerRangeConstraintEditor,StringConstraintEditor,UnsignedLongConstraintEditor,UnsignedLongRangeConstraintEditor
AbstractColumnDisplay	class	0	0	
AbstractComparableColumnDisplay	class	0	0	
AbstractCompile2MsSymbol	class	2	0	Compile2MsSymbol,Compile2StMsSymbol
AbstractComplexDataType	class	6	1	Complex16DataType,Complex32DataType,Complex8DataType,DoubleComplexDataType,FloatComplexDataType,LongDoubleComplexDataType
AbstractComplexMsType	class	18	0	Class16MsType,Class19MsType,ClassMsType,ClassStMsType,Enum16MsType,Enum19MsType,EnumMsType,EnumStMsType,Interface19MsType,InterfaceMsType,Structure16MsType,Structure19MsType,StructureMsType,StructureStMsType,Union16MsType,Union19MsType,UnionMsType,UnionStMsType
AbstractComplexTypeApplier	class	2	0	CompositeTypeApplier,EnumTypeApplier
AbstractComposedDBTraceCodeUnitsView	class	3	0	DBTraceCodeUnitsView,DBTraceDataView,DBTraceDefinedUnitsView
AbstractCompositeBitFieldTest	class	12	0	MSVCStructureBitFieldTest,MSVCStructureImplBitFieldTest,MSVCUnionBitFieldTest,MSVCUnionImplBitFieldTest,StructureBigEndianBitFieldTest,StructureImplBigEndianBitFieldTest,StructureImplLittleEndianBitFieldTest,StructureLittleEndianBitFieldTest,UnionBigEndianBitFieldTest,UnionImplBigEndianBitFieldTest,UnionImplLittleEndianBitFieldTest,UnionLittleEndianBitFieldTest
AbstractCompositeMsType	class	14	0	Class16MsType,Class19MsType,ClassMsType,ClassStMsType,Interface19MsType,InterfaceMsType,Structure16MsType,Structure19MsType,StructureMsType,StructureStMsType,Union16MsType,Union19MsType,UnionMsType,UnionStMsType
AbstractCompositeTest	class	14	0	CompositeImplZeroArrayTest,CompositeZeroArrayTest,MSVCStructureBitFieldTest,MSVCStructureImplBitFieldTest,MSVCUnionBitFieldTest,MSVCUnionImplBitFieldTest,StructureBigEndianBitFieldTest,StructureImplBigEndianBitFieldTest,StructureImplLittleEndianBitFieldTest,StructureLittleEndianBitFieldTest,UnionBigEndianBitFieldTest,UnionImplBigEndianBitFieldTest,UnionImplLittleEndianBitFieldTest,UnionLittleEndianBitFieldTest
AbstractCompositeZeroArrayTest	class	2	0	CompositeImplZeroArrayTest,CompositeZeroArrayTest
AbstractConfigurableHover	class	13	0	DataTypeDecompilerHover,DataTypeListingHover,FunctionSignatureDecompilerHover,FunctionSignatureListingHover,LabelListingHover,ProgramAddressRelationshipListingHover,ReferenceDecompilerHover,ReferenceListingHover,ScalarOperandListingHover,ScalarValueDecompilerHover,SourceMapFieldHover,TruncatedTextListingHover,VariableValueHoverService
AbstractConstantMsSymbol	class	4	0	Constant16MsSymbol,ConstantMsSymbol,ConstantStMsSymbol,ManagedConstantMsSymbol
AbstractConstantPoolInfoJava	class	17	0	ConstantPoolClassInfo,ConstantPoolDoubleInfo,ConstantPoolDynamicInfo,ConstantPoolFieldReferenceInfo,ConstantPoolFloatInfo,ConstantPoolIntegerInfo,ConstantPoolInterfaceMethodReferenceInfo,ConstantPoolInvokeDynamicInfo,ConstantPoolLongInfo,ConstantPoolMethodHandleInfo,ConstantPoolMethodReferenceInfo,ConstantPoolMethodTypeInfo,ConstantPoolModuleInfo,ConstantPoolNameAndTypeInfo,ConstantPoolPackageInfo,ConstantPoolStringInfo,ConstantPoolUtf8Info
AbstractConstantPoolReferenceInfo	class	3	0	ConstantPoolFieldReferenceInfo,ConstantPoolInterfaceMethodReferenceInfo,ConstantPoolMethodReferenceInfo
AbstractConstraintsTree	class	0	0	
AbstractConstraintsTreeSpatialMap	class	0	0	
AbstractConvertAction	class	9	0	ConvertToBinaryAction,ConvertToCharAction,ConvertToDoubleAction,ConvertToFloatAction,ConvertToOctalAction,ConvertToSignedDecimalAction,ConvertToSignedHexAction,ConvertToUnsignedDecimalAction,ConvertToUnsignedHexAction
AbstractCorrelatorTest	class	2	0	BSimSelfSimilarCorrelatorTest,BasicSelfSimilarCorrelatorTest
AbstractCreateArchiveTest	class	1	0	CreateArchive1Test
AbstractCreateDataBackgroundCmd	class	12	0	CreateEHCatchHandlerMapBackgroundCmd,CreateEHESTypeListBackgroundCmd,CreateEHFuncInfoBackgroundCmd,CreateEHIPToStateMapBackgroundCmd,CreateEHTryBlockMapBackgroundCmd,CreateEHUnwindMapBackgroundCmd,CreateRtti1BackgroundCmd,CreateRtti2BackgroundCmd,CreateRtti3BackgroundCmd,CreateRtti4BackgroundCmd,CreateTypeDescriptorBackgroundCmd,CreateVfTableBackgroundCmd
AbstractCreateDataTypeModel	class	12	0	EHCatchHandlerModel,EHESTypeListModel,EHFunctionInfoModel,EHIPToStateModel,EHTryBlockModel,EHUnwindModel,Rtti1Model,Rtti2Model,Rtti3Model,Rtti4Model,TypeDescriptorModel,VfTableModel
AbstractCreateDataTypeModelTest	class	8	0	AbstractEHTest,AbstractRttiTest,EH32CreateCmdTest,EH64CreateCmdTest,EHModelTest,PEUtilTest,RttiCreateCmdTest,RttiModelTest
AbstractCreateManualMatchAction	class	3	0	CreateManualMatchAction,CreateManualMatchAndAcceptAction,CreateManualMatchAndAcceptAndApplyAction
AbstractCreateRttiDataModel	class	4	0	Rtti1Model,Rtti2Model,Rtti3Model,Rtti4Model
AbstractCreateStructureCmd	class	2	0	CreateStructureCmd,CreateStructureInStructureCmd
AbstractDBAnnotationValidator	class	2	0	DBAnnotatedColumnValidator,DBAnnotatedFieldValidator
AbstractDBTraceAddressSnapRangePropertyMapOcclusionIterable	class	2	0	DBTraceAddressSnapRangePropertyMapOcclusionIntoFutureIterable,DBTraceAddressSnapRangePropertyMapOcclusionIntoPastIterable
AbstractDBTraceCodeUnit	class	2	0	DBTraceData,DBTraceInstruction
AbstractDBTraceDataComponent	class	2	0	DBTraceDataArrayElementComponent,DBTraceDataCompositeFieldComponent
AbstractDBTraceMemoryManagerMemoryTest	class	2	0	DBTraceMemoryManagerMemoryBETest,DBTraceMemoryManagerMemoryLETest
AbstractDBTraceMemoryManagerRegionsTest	class	1	0	DBTraceMemoryManagerRegionsTest
AbstractDBTraceMemoryManagerRegistersTest	class	2	0	DBTraceMemoryManagerRegistersPerFrameBETest,DBTraceMemoryManagerRegistersPerThreadLETest
AbstractDBTraceMemoryManagerTest	class	4	0	DBTraceMemoryManagerMemoryBETest,DBTraceMemoryManagerMemoryLETest,DBTraceMemoryManagerRegistersPerFrameBETest,DBTraceMemoryManagerRegistersPerThreadLETest
AbstractDBTraceProgramViewListing	class	1	0	DBTraceProgramViewListing
AbstractDBTraceProgramViewMemory	class	1	0	DBTraceProgramViewMemory
AbstractDBTraceProgramViewMemoryBlock	class	2	0	DBTraceProgramViewMemoryRegionBlock,DBTraceProgramViewMemorySpaceBlock
AbstractDBTraceProgramViewReferenceManager	class	1	0	DBTraceProgramViewReferenceManager
AbstractDBTracePropertyMap	class	0	0	
AbstractDBTraceSpaceBasedManager	class	9	0	DBTraceAddressSnapRangePropertyMap,DBTraceBookmarkManager,DBTraceCodeManager,DBTraceCommentAdapter,DBTraceDataSettingsAdapter,DBTraceEquateManager,DBTraceMemoryManager,DBTraceReferenceManager,DBTraceRegisterContextManager
AbstractDBTraceSymbol	class	3	0	DBTraceClassSymbol,DBTraceLabelSymbol,DBTraceNamespaceSymbol
AbstractDBTraceSymbolSingleTypeView	class	3	0	DBTraceClassSymbolView,DBTraceLabelSymbolView,DBTraceNamespaceSymbolView
AbstractDBTraceSymbolSingleTypeWithAddressView	class	0	0	
AbstractDBTraceSymbolSingleTypeWithLocationView	class	1	0	DBTraceLabelSymbolView
AbstractDataActionTest	class	5	0	DataAction1Test,DataAction2Test,DataAction3Test,DataAction4Test,EnumDataActionTest
AbstractDataHighLevelShaderLanguageMsSymbol	class	6	0	GlobalDataHLSL32ExtMsSymbol,GlobalDataHLSL32MsSymbol,GlobalDataHLSLMsSymbol,LocalDataHLSL32ExtMsSymbol,LocalDataHLSL32MsSymbol,LocalDataHLSLMsSymbol
AbstractDataMsSymbol	class	12	0	GlobalData16MsSymbol,GlobalData3216MsSymbol,GlobalData32MsSymbol,GlobalData32StMsSymbol,GlobalManagedDataMsSymbol,GlobalManagedDataStMsSymbol,LocalData16MsSymbol,LocalData3216MsSymbol,LocalData32MsSymbol,LocalData32StMsSymbol,LocalManagedDataMsSymbol,LocalManagedDataStMsSymbol
AbstractDataReferenceGraphTest	class	2	0	DataReferenceGraphEventTest,DataReferenceGraphTaskTest
AbstractDataReferenceMsSymbol	class	2	0	DataReferenceMsSymbol,DataReferenceStMsSymbol
AbstractDataTreeDialog	class	3	0	DataTreeDialog,OpenVersionedFileDialog,ProgramFileChooser
AbstractDataType	class	150	0	AIFFDataType,AUDataType,AlignmentDataType,AndroidElfRelocationData,AndroidElfRelocationGroup,AndroidElfRelocationOffset,AndroidElfRelocationTableDataType,ArrayDataType,BadDataType,BitFieldDBDataType,BitFieldDataType,BitmapResourceDataType,BooleanDataType,ByteDataType,CharDataType,Complex16DataType,Complex32DataType,Complex8DataType,DWordDataType,DefaultDataType,DialogResourceDataType,DoubleComplexDataType,DoubleDataType,DwarfEncodingModeDataType,ElfDataType,ElfRelrRelocationTableDataType,EnumDataType,FileTimeDataType,Float10DataType,Float16DataType,Float2DataType,Float4DataType,Float8DataType,FloatComplexDataType,FloatDataType,FunctionDefinitionDataType,FunctionSignatureImpl,GifDataType,GroupIconResourceDataType,GuidDataType
AbstractDataTypeMergeDialog	class	2	0	DataTypeMergeConfirmationDialog,DataTypeMergeErrorDialog
AbstractDataTypeMergeTest	class	14	0	CategoryMerge1Test,CategoryMerge2Test,CategoryMerge3Test,CategoryMerge4Test,CategoryMergeUseForAllTest,DataTypeMerge1Test,DataTypeMerge2Test,DataTypeMerge3Test,DataTypeMerge4Test,DataTypeMerge5Test,DataTypeMerge6Test,DataTypeMerge8Test,DataTypeMergeFixupTest,DataTypeMergeUseForAllTest
AbstractDataTypeTableCellEditor	class	0	0	
AbstractDbgEngTraceRmiTest	class	3	0	DbgEngCommandsTest,DbgEngHooksTest,DbgEngMethodsTest
AbstractDebuggerBreakpointMarkerPluginTest	class	1	0	DebuggerRmiBreakpointMarkerPluginTest
AbstractDebuggerBreakpointsProviderTest	class	1	0	DebuggerRmiBreakpointsProviderTest
AbstractDebuggerLogicalBreakpointServiceTest	class	1	0	DebuggerRmiLogicalBreakpointServiceTest
AbstractDebuggerMapProposalDialog	class	3	0	DebuggerModuleMapProposalDialog,DebuggerRegionMapProposalDialog,DebuggerSectionMapProposalDialog
AbstractDebuggerParameterDialog	class	3	0	RemoteMethodInvocationDialog,TraceRmiConnectDialog,TraceRmiLaunchDialog
AbstractDebuggerPlatformMapper	class	1	0	DefaultDebuggerPlatformMapper
AbstractDebuggerPlatformOffer	class	0	0	
AbstractDebuggerPlatformOpinion	class	7	1	DbgengDebuggerPlatformOpinion,FridaDebuggerPlatformOpinion,GdbDebuggerPlatformOpinion,JdiDebuggerPlatformOpinion,LldbDebuggerPlatformOpinion,OverrideDebuggerPlatformOpinion,TestDebuggerPlatformOpinion
AbstractDebuggerPlugin	class	20	1	BreakpointTimelinePlugin,DebuggerBreakpointsPlugin,DebuggerControlPlugin,DebuggerControlServicePlugin,DebuggerCopyActionsPlugin,DebuggerMemviewPlugin,DebuggerModulesPlugin,DebuggerPcodeStepperPlugin,DebuggerRegionsPlugin,DebuggerRegistersPlugin,DebuggerStackPlugin,DebuggerStaticMappingPlugin,DebuggerThreadsPlugin,DebuggerTimePlugin,DebuggerTraceViewDiffPlugin,DebuggerVariableViewerPlugin,DebuggerWatchesPlugin,TimeOverviewColorPlugin,TraceCallTreePlugin,Z3SummaryPlugin
AbstractDebuggerRegistersProviderTest	class	3	0	DebuggerGuestTraceRegistersProviderTest,DebuggerRmiRegistersProviderTest,DebuggerTraceRegistersProviderTest
AbstractDebuggerSleighInputDialog	class	3	0	DebuggerGoToDialog,DebuggerSleighExpressionInputDialog,DebuggerSleighSemanticInputDialog
AbstractDebuggerVariableViewerVarValue	class	2	0	DebuggerVariableViewerHighVarValue,DebuggerVariableViewerVarValue
AbstractDecompilerAction	class	50	0	BackwardsSliceAction,BackwardsSliceToPCodeOpsAction,CloneDecompilerAction,CommitLocalsAction,CommitParamsAction,ConvertBinaryAction,ConvertCharAction,ConvertDecAction,ConvertDoubleAction,ConvertFloatAction,ConvertHexAction,ConvertOctAction,CreatePointerRelative,DeletePrototypeOverrideAction,EditDataTypeAction,EditFieldAction,EditPrototypeOverrideAction,ExportToCAction,FindAction,FindReferencesToHighSymbolAction,ForceUnionAction,ForwardSliceAction,ForwardSliceToPCodeOpsAction,GoToNextBraceAction,GoToPreviousBraceAction,HighlightDefinedUseAction,IsolateVariableAction,NextHighlightedTokenAction,OverridePrototypeAction,PCodeCfgAction,PCodeDfgAction,PreviousHighlightedTokenAction,RemoveAllSecondaryHighlightsAction,RemoveEquateAction,RemoveLabelAction,RemoveSecondaryHighlightAction,RenameBitFieldAction,RenameFieldAction,RenameFunctionAction,RenameGlobalAction
AbstractDecompilerFindReferencesActionTest	class	2	0	DecompilerFindReferencesToActionTest,DecompilerFindReferencesToNestedStructureActionTest
AbstractDecompilerTest	class	11	0	DecompilerClang2Test,DecompilerClangTest,DecompilerEditDataFieldTest,DecompilerEquateTest,DecompilerFindDialogTest,DecompilerFindReferencesToActionTest,DecompilerFindReferencesToNestedStructureActionTest,DecompilerHighSymbolTest,DecompilerNavigationTest,DecompilerSpecExtensionTest,DecompilerToggleButtonTest
AbstractDefaultArgumentsMsType	class	3	0	DefaultArguments16MsType,DefaultArgumentsMsType,DefaultArgumentsStMsType
AbstractDefinedSingleAddressRangeMsSymbol	class	9	0	DeferredProcedureCallPointerTagRegDimDARMsSymbol,DefinedSingleAddressRangeMsSymbol,EnregisteredFieldOfSymbolDARMsSymbol,EnregisteredSymbolDARMsSymbol,EnregisteredSymbolRelativeDARMsSymbol,FramePointerRelativeDARMsSymbol,FramePointerRelativeFullScopeDARMsSymbol,HighLevelShaderLanguageRegDimDARMsSymbol,SubfieldDARMsSymbol
AbstractDemangledFunctionDefinitionDataType	class	3	0	DemangledFunctionIndirect,DemangledFunctionPointer,DemangledFunctionReference
AbstractDemanglerAnalyzer	class	4	1	GnuDemanglerAnalyzer,MicrosoftDemanglerAnalyzer,RustDemanglerAnalyzer,SwiftDemanglerAnalyzer
